temp,pH,DO,date,time
26.125,7.0,97,2013-07-09,00:15:06.443105
26.125,7.0,97,2013-07-09,00:21:01.026622
26.125,7.0,97,2013-07-09,00:25:05.746272
26.125,7.0,97,2013-07-09,00:30:06.635309
26.125,7.0,97,2013-07-09,00:35:06.471212
26.125,7.0,97,2013-07-09,00:41:01.048036
26.125,7.0,97,2013-07-09,00:45:05.938141
26.125,7.0,97,2013-07-09,00:50:05.761779
26.125,7.0,97,2013-07-09,00:55:06.502531
26.125,7.0,97,2013-07-09,01:01:00.807957
26.125,7.0,97,2013-07-09,01:05:06.639907
26.125,7.0,97,2013-07-09,01:10:06.484322
26.125,7.0,97,2013-07-09,01:15:06.307971
26.125,7.0,97,2013-07-09,01:21:00.572726
26.125,7.0,97,2013-07-09,01:25:06.432734
26.125,7.0,97,2013-07-09,01:30:06.275902
26.125,7.0,97,2013-07-09,01:35:06.148929
26.125,7.0,97,2013-07-09,01:41:00.740364
26.125,7.0,97,2013-07-09,01:45:06.632595
26.125,7.0,97,2013-07-09,01:50:06.452729
26.125,7.0,97,2013-07-09,01:55:06.193924
26.125,7.0,97,2013-07-09,02:01:00.977790
26.187,7.0,97,2013-07-09,02:05:05.710922
26.125,7.0,97,2013-07-09,02:10:06.494364
26.187,7.0,97,2013-07-09,02:15:06.270527
26.125,7.0,97,2013-07-09,02:21:00.606205
26.187,7.0,97,2013-07-09,02:25:06.397227
26.125,7.0,97,2013-07-09,02:30:06.160692
26.187,7.0,97,2013-07-09,02:35:05.931911
26.187,7.0,97,2013-07-09,02:41:00.768284
26.187,7.0,97,2013-07-09,02:45:06.587443
26.187,7.0,97,2013-07-09,02:50:06.373498
26.187,7.0,97,2013-07-09,02:55:06.108383
26.187,7.0,97,2013-07-09,03:01:00.534936
26.187,7.0,97,2013-07-09,03:05:06.207952
26.187,7.0,97,2013-07-09,03:10:05.921594
26.187,7.0,97,2013-07-09,03:15:05.635631
26.187,7.0,97,2013-07-09,03:21:01.231614
26.187,7.0,97,2013-07-09,03:25:06.015885
26.187,7.0,97,2013-07-09,03:30:05.799202
26.187,7.0,97,2013-07-09,03:35:06.509155
26.187,7.0,97,2013-07-09,03:41:00.747826
26.187,7.0,97,2013-07-09,03:45:06.497638
26.187,7.0,97,2013-07-09,03:50:06.279267
26.187,7.0,97,2013-07-09,03:55:06.000514
26.187,7.0,97,2013-07-09,04:01:00.280804
26.187,7.0,97,2013-07-09,04:05:05.974431
26.187,7.0,97,2013-07-09,04:10:05.623757
26.187,7.0,97,2013-07-09,04:15:06.359427
26.187,7.0,97,2013-07-09,04:21:00.547009
26.187,7.0,97,2013-07-09,04:25:06.294029
26.187,7.0,97,2013-07-09,04:30:06.072253
